LST_Celsius,NDBI,NDVI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,Latitude,Longitude
29.413093550000042,0.28703759762668773,-0.354916461243495,21952,0,0.0003374999999999906,0.017511249999999992,0.05770249999999999,0.0309175,0.014719999999999997,0.0265725,0.024853750000000008,224,7081.5,302.56309355,861.5,1205.0,9880.0,0,214.0,9522.0,2579.0,18.97875192335734,72.7819983927699
45.469242500000064,0.06961840180827013,0.1777904016495192,21824,0,0.06668125,0.08268624999999999,0.10657,0.12212125000000001,0.174935,0.201115,0.17555375,160,7161.0,318.61924250000004,1200.5,1183.5,9637.0,108,232.5,11105.0,2521.0,19.06525968521805,72.90165398861463
29.54468731999998,0.2037556768893197,-0.34600473605901216,21952,0,0.011997499999999994,0.03115124999999999,0.06332625,0.04014374999999999,0.019504999999999995,0.029487499999999986,0.028126250000000005,224,7111.5,302.69468731999996,528.0,1197.0,9880.0,0,251.5,9577.5,2561.5,19.1347892882089,72.75477943966108
46.21778888,0.07763151308874311,0.16214148174930845,21824,0,0.08234250000000001,0.091665,0.11215250000000002,0.124555,0.1727625,0.20184375,0.17508625000000003,81,7097.5,319.36778888,448.0,1201.0,9646.0,130,241.0,11039.0,2566.5,18.96177376448748,72.82511752640764
29.19604928000001,0.3470321292430571,-0.4158493017213383,21952,0,0.004668749999999999,0.02532124999999999,0.05623125000000001,0.02724625,0.011241249999999994,0.023190000000000002,0.022461249999999988,224,7090.0,302.34604928,684.5,1202.5,9880.0,0,216.5,9477.5,2579.0,19.09355661666781,72.70249749012532
34.11628906999999,-0.2719995054554446,0.649055318466871,21824,0,0.017909999999999995,0.025005,0.0442275,0.0328425,0.15432375,0.08832375,0.046015,192,7181.5,307.26628906999997,2205.0,1177.5,9813.5,88,206.0,9994.0,2504.0,19.1671286384372,72.98654478296392
39.99699248000002,-0.15301528750922952,0.4472817713262266,21824,0,0.04454374999999999,0.055255,0.08274124999999999,0.08833749999999999,0.23131,0.16991625,0.1169375,160,7150.5,313.14699248,972.5,1185.5,9709.0,78,227.5,10622.0,2529.0,19.051515461371018,72.87362655175009
44.68822492999999,0.020189158919894878,0.1012999942562846,21824,0,0.05566750000000001,0.07321250000000001,0.103765,0.11735000000000001,0.14380500000000002,0.14973125,0.12828124999999999,224,7165.5,317.83822492999997,1287.0,1181.5,9674.0,106,229.5,11053.0,2516.5,19.062834233950927,72.9156677070469
29.642100889999995,-0.08653158522050054,-0.20620980482404294,21952,0,0.039703749999999996,0.05267000000000001,0.078905,0.060603749999999984,0.0398825,0.033530000000000004,0.030518749999999997,224,7126.0,302.79210089,730.0,1192.5,9880.0,0,223.0,9588.5,2549.5,19.082237844087906,72.80328846500353
42.82027700000003,-0.019291647672592747,0.20402210738084378,21824,0,0.06604874999999999,0.084845,0.11647000000000002,0.13303874999999998,0.20123875,0.19362125000000002,0.1659975,160,7159.5,315.970277,1167.0,1183.5,9671.0,89,227.5,10839.5,2521.5,19.063103728536163,72.89815055900655
41.77265387,-0.08463196394748874,0.1610386341708966,21824,0,0.05280750000000001,0.06005375000000002,0.07960624999999999,0.07499999999999998,0.10379250000000001,0.087595,0.06493499999999999,96,7179.0,314.92265387,1522.5,1178.0,9560.0,113,227.0,10630.5,2506.0,19.05528838556432,72.95016301395708
40.28581516999998,-0.21754110439634558,0.5340373694097342,21824,0,0.03277374999999999,0.042701249999999996,0.06965125,0.06681874999999998,0.21997999999999998,0.14137125,0.08226,192,7156.5,313.43581516999996,1123.0,1184.5,9633.0,155,240.0,10473.0,2524.0,19.081159865746965,72.89141319437566
33.74372489000001,-0.3169752858723719,0.609238091803988,21824,0,0.025981249999999997,0.031192499999999998,0.050511249999999994,0.04063875,0.16735875000000003,0.0867975,0.042605000000000004,128,7198.5,306.89372489,1859.0,1172.5,9681.0,133,220.5,9843.5,2489.0,19.050437483030077,73.00163647973713
32.101366280000036,-0.07217394633081965,-0.06148134248337989,21952,0,0.06307874999999999,0.07432625000000001,0.10093250000000001,0.09899375000000002,0.08752625,0.07574249999999999,0.05939375000000002,96,7143.0,305.25136628,941.5,1188.5,9880.0,0,210.0,9836.0,2529.5,18.919732609190685,72.9496240247866
46.125502340000025,0.03528314421263829,0.13544101851266824,21824,0,0.06153875,0.07605875000000001,0.11134124999999997,0.13683375,0.17970625,0.19285125,0.16070375,145,7191.0,319.27550234,2580.0,1174.5,9680.0,77,199.5,11316.5,2496.0,19.161738746732485,73.02616048699359
40.92840293000006,-0.004529552329785142,0.415395860934716,21824,0,0.056506249999999994,0.05947624999999998,0.07498624999999998,0.0799775,0.193635,0.19188875,0.13015125,96,7128.5,314.07840293000004,844.0,1192.5,9563.0,88,232.0,10417.0,2548.0,19.15634885502777,72.80463593792972
36.637078820000056,-0.07366653635903384,0.5157719502209838,21824,0,0.03174250000000001,0.03982749999999999,0.06489374999999997,0.06690125,0.20942,0.1806825,0.11165749999999999,160,7327.5,309.78707882000003,1256.0,1111.5,9801.0,266,270.5,10240.5,2355.0,19.17575246516475,72.8908742052052
30.78542858000003,-0.05113786313161034,-0.2143182300992382,21952,0,0.027988749999999993,0.03841125000000001,0.06229499999999999,0.050016249999999984,0.032361249999999994,0.029212500000000002,0.02439999999999999,192,7185.5,303.93542858,1271.0,1176.0,9880.0,0,209.5,9675.0,2499.5,19.010013295244697,72.96390723780411
29.51392513999997,0.23764036058832838,-0.3886620164870006,21952,0,0.002207500000000001,0.017593750000000005,0.05752375000000001,0.0342175,0.01506375,0.024455000000000005,0.02383624999999999,224,7116.5,302.66392513999995,697.5,1195.5,9880.0,0,222.0,9579.0,2557.0,19.06364271770663,72.77984243608802
29.40283949000002,0.17351409866487977,-0.2512142723706333,21952,0,0.009934999999999986,0.028414999999999996,0.05904999999999999,0.03348875,0.020041249999999997,0.028456250000000002,0.026531250000000006,208,7107.5,302.55283949,586.5,1198.0,9880.0,0,223.5,9531.0,2564.5,19.115385678071917,72.74696409668924
41.71967455999999,-0.06756150851546881,0.2884666592222919,21824,0,0.04674375,0.060026249999999975,0.0920775,0.103545,0.18750250000000002,0.16377,0.1197425,177,7176.5,314.86967455999996,2036.0,1178.5,9567.0,110,217.5,10664.0,2508.0,19.17494398140904,72.96741066741217
